group;comments;too much movement;Time;ID;gender;Trials;acc_go;acc_nogo;rt_go;wave;schoolstart;year;ExactAge_T1;ExactAge_T2;Con_acc_t1;InCon_acc_t1;Mix_acc_t1;MixCon_Acc_t1;MixInCon_Acc_t1;Con_CorrRTmean_t1;Incon_CorrRTmean_t1;Mix_CorrRTmean_t1;MixCon_CorrRTmean_t1;MixInCon_CorrRTmean_t1
3;0;;2;1236;2;;;;;1;Oct - Dec 2007;2014;5.503080082;6.562628337;0.9;0.9;0.9;0.9;0.9;481.94;737.83;1059.11;1146.89;971.33
2;;;2;1239;2;166;0.991666667;0.925;876;1;Oct - Dec 2007;2013;5.70568104;6.595482546;1;1;0.95;1;0.9;525.95;595.45;895.89;851.2;945.56
2;;T1;2;1240;2;166;0.933333333;0.325;640;1;Oct - Dec 2007;2013;5.771389459;6.680355921;1;0.95;1;1;1;422.4;435.58;730.45;701.4;759.5
2;;;2;1242;2;166;0.958333333;0.675;726;2;Oct - Dec 2008;2014;5.349760438;6.439425051;0.95;0.95;1;1;1;434.58;547.37;930.8;985.9;875.7
2;;;2;1243;2;166;0.816666667;0.675;800.04;2;Oct - Dec 2008;2014;5.409993155;6.592744695;1;0.95;0.95;0.9;1;512.4;632.05;786.58;771.44;800.2
3;0;;2;1245;2;166;0.975;0.575;684.75;2;Oct - Dec 2008;2015;5.333333333;6.379192334;0.95;0.95;0.7;0.8;0.6;545.47;822.79;1015.93;890;1183.83
2;;;2;1246;2;166;0.983333333;0.9;840.11;2;Oct - Dec 2008;2014;5.366187543;6.39835729;1;1;1;1;1;665.85;822.15;976.6;978.6;974.6
3;0. ??;T1;2;1247;2;166;0.991666667;0.8;678.04;2;Oct - Dec 2008;2015;5.35797399;6.450376454;0.95;0.95;0.95;1;0.9;547;567.47;922.63;901.9;945.67
3;0;;2;1248;2;166;1;0.475;656.3;2;Oct - Dec 2008;2015;5.80698152;6.6091718;0.9;0.85;0.8;0.9;0.7;410.39;674;1150.06;1049.56;1279.29
3;;;2;1251;2;166;0.991666667;0.875;769;1;Jan - March 2008 (Wave 1);2014;5.242984257;6.450376454;1;1;0.9;0.9;0.9;534.4;815.25;1039.44;1035.11;1043.78
3;;T2;2;1253;2;166;0.958333333;0.65;819;1;Jan - March 2008 (Wave 1);2014;5.377138946;6.527036277;0.95;1;0.85;0.8;0.9;636.89;788.65;1202.88;1160.75;1240.33
3;;;2;1254;2;166;0.966666667;0.45;688;1;Jan - March 2008 (Wave 1);2014;5.467488022;6.379192334;0.95;0.85;0.75;0.8;0.7;384.21;496.24;677.27;611.63;752.29
3;;;2;1256;2;166;0.991666667;0.875;691;1;Jan - March 2008 (Wave 1);2014;5.478439425;6.324435318;0.9;0.95;0.75;0.7;0.8;395.67;549.89;863.93;844.43;881
3;only 1 run;;2;1257;2;166;0.983333333;0.225;610;1;Jan - March 2008 (Wave 1);2014;5.546885695;6.392881588;0.95;0.85;0.7;0.5;0.9;417.05;745.59;845;796.2;872.11
3;;;2;1258;2;166;0.991666667;0.725;790;1;Jan - March 2008 (Wave 1);2014;5.549623546;6.362765229;1;0.95;1;1;1;355.85;611.79;930.2;932.9;927.5
3;;;2;1259;2;166;0.866666667;0.55;696.45;2;Jan - March 2009;2015;5.223819302;6.390143737;1;0.9;0.8;0.8;0.8;433.35;572.78;903.19;831.75;974.63
3;BUTTON BOX error at run1;out!;2;1260;2;166;0.391666667;1;NaN;2;Jan - March 2009;2015;5.204654346;6.343600274;0.9;0.85;0.45;0.8;0.1;659.11;985.24;671.89;725.5;243
3;;;2;1262;2;166;0.975;0.875;797.5;2;Jan - March 2009;2015;5.196440794;6.291581109;0.95;0.9;0.75;0.9;0.6;485.53;657.61;945.53;946.89;943.5
3;;;2;1263;2;166;0.95;0.875;773.18;2;Jan - March 2009;2015;5.32238193;6.357289528;1;0.75;0.9;0.8;1;624.4;694.6;1074.5;1071.63;1076.8
3;;;2;1266;2;166;0.941666667;0.7;735.21;2;Jan - March 2009;2015;5.204654346;6.288843258;0.9;0.8;0.85;0.9;0.8;535.17;740.31;997.47;934.67;1068.13
3;;;2;1270;2;166;0.975;0.6;740.47;2;Jan - March 2009;2015;5.637234771;6.417522245;0.9;0.85;0.75;0.7;0.8;360.56;504.82;894.4;855.43;928.5
